iter	Passed	Remaining
869	38232	5712
870	38291	5671
871	38356	5630
872	38458	5594
873	38520	5553
874	38597	5513
875	38671	5474
876	38728	5431
877	38789	5389
878	38853	5348
879	38920	5307
880	38996	5267
881	39067	5226
882	39159	5188
883	39238	5148
884	39287	5105
885	39329	5060
886	39373	5016
887	39421	4972
888	39461	4927
889	39504	4882
890	39558	4839
891	39602	4794
892	39643	4750
893	39688	4705
894	39743	4662
895	39787	4618
896	39835	4574
897	39884	4530
898	39926	4485
899	39973	4441
900	40023	4397
901	40075	4354
902	40125	4310
903	40175	4266
904	40240	4224
905	40285	4179
906	40331	4135
907	40372	4090
908	40424	4046
909	40471	4002
910	40515	3958
911	40561	3913
912	40614	3870
913	40670	3826
914	40714	3782
915	40764	3738
916	40804	3693
917	40850	3648
918	40904	3605
919	40946	3560
920	40997	3516
921	41036	3471
922	41099	3428
923	41149	3384
924	41202	3340
925	41257	3297
926	41300	3252
927	41354	3208
928	41408	3164
929	41458	3120
930	41511	3076
931	41558	3032
932	41601	2987
933	41642	2942
934	41688	2898
935	41729	2853
936	41773	2808
937	41824	2764
938	41868	2719
939	41909	2675
940	41952	2630
941	42001	2586
942	42044	2541
943	42087	2496
944	42136	2452
945	42178	2407
946	42221	2362
947	42269	2318
948	42323	2274
949	42383	2230
950	42432	2186
951	42484	2142
952	42536	2097
953	42586	2053
954	42640	2009
955	42684	1964
956	42740	1920
957	42784	1875
958	42825	1830
959	42868	1786
960	42919	1741
961	42967	1697
962	43009	1652
963	43062	1608
964	43108	1563
965	43151	1518
966	43196	1474
967	43237	1429
968	43282	1384
969	43324	1339
970	43364	1295
971	43412	1250
972	43453	1205
973	43499	1161
974	43546	1116
975	43592	1071
976	43641	1027
977	43685	982
978	43731	938
979	43775	893
980	43824	848
981	43985	806
982	44054	761
983	44105	717
984	44150	672
985	44196	627
986	44246	582
987	44298	538
988	44342	493
989	44388	448
990	44456	403
991	44504	358
992	44548	314
993	44590	269
994	44630	224
995	44676	179
996	44720	134
997	44761	89
998	44807	44
999	44849	0
